Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.112,muertes.114,muertes.122,muertes.114,muertes.Total 
1101,32,7,,1,,2,,,,,,1,,,2,,1,1,1,5,3,4,6,2,2,2,4,3,1,2,4,6,4,9,2,3,7,3,5,1,2,3,3,4,4,6,5,10,10,18,3,4,13,7,13,13,11,6,11,24,14,8,19,19,20,14,10,16,19,23,20,15,20,24,28,28,31,27,26,24,31,38,28,31,25,32,20,16,15,12,13,4,12,14,8,8,8,4,3,,1,1,2,,,,,,,,,,,,1027,
1107,8,,,,,,,,,,1,,,,,1,2,,,1,1,,1,2,1,,,,1,,2,1,1,,1,,4,1,,,1,1,,,1,3,4,2,1,3,2,1,6,8,7,1,1,2,5,4,2,2,3,6,6,1,2,5,2,1,7,9,2,1,3,4,4,7,7,2,7,4,3,3,4,6,1,3,2,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,195,
1401,3,,,,,,,,,,,,,,,,2,1,,1,,,2,,,1,,,,2,,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,,1,2,1,,,,,,,,1,,,,1,1,,,,2,1,1,2,,1,1,,,2,1,,,,1,1,1,,1,2,,,,,,,,,,,,,,,,,,,40,
1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,1,,,,,,,,,2,,,1,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,15,
1405,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,2,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,18,
2101,45,,1,,1,1,,1,,,1,,2,2,1,3,1,4,1,3,2,3,7,3,5,8,2,1,3,4,4,2,4,10,4,4,7,4,10,8,8,2,6,12,8,14,19,16,8,19,23,25,19,20,29,26,18,33,26,28,29,26,31,30,28,30,46,23,39,48,36,39,47,41,34,36,33,27,35,45,62,51,63,43,40,36,44,38,27,27,24,23,14,14,16,17,6,6,3,2,4,2,,1,,,,,,,,,,,1787,
2102,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,,2,,,,,4,,1,,,,,1,,1,1,2,3,,1,,,1,4,,,,1,1,,1,1,1,1,,1,,1,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,39,
2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
2104,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,,,2,,,1,,,,1,2,1,,1,3,3,,,1,3,,,,,,,,1,,1,,3,1,,1,1,2,2,3,2,4,3,2,3,1,2,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,61,
2201,20,2,,,2,2,,,,1,,,,,,3,,1,3,,2,3,5,2,2,2,2,2,1,4,3,1,3,4,3,3,4,4,5,7,3,3,4,4,1,3,6,5,7,5,12,9,6,8,8,11,12,5,13,5,7,8,8,10,14,8,13,11,10,7,8,10,13,8,16,13,16,12,16,9,18,16,8,15,13,10,13,12,9,7,4,5,6,10,1,3,,1,3,,1,,,,,,,,,,,,,,598,
2203,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,,,,,,1,1,1,,1,,,1,,,,1,,,,2,,1,,,,,,,,,,,1,,,,,,2,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,20,
2301,3,,,,1,,,,,,,,,,,,1,,,1,,,1,,,1,1,1,,,,,,,,1,1,,1,,,,,,,,,1,,3,2,2,3,2,3,,2,5,4,2,3,,4,7,3,3,5,1,8,6,2,7,3,1,3,2,3,6,5,3,4,3,8,6,4,6,1,,3,1,1,,3,2,,,1,1,1,,,,,,,,,,,,,,,,162,
2302,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,1,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
3101,28,1,,2,2,1,2,,,1,,1,,,,,,1,1,2,1,3,3,2,3,1,3,1,1,4,5,2,2,4,3,2,4,,2,4,4,5,3,3,3,6,4,5,7,10,3,10,8,7,7,8,15,9,9,10,10,13,11,14,4,12,10,16,8,20,23,13,11,15,18,21,20,20,30,14,28,20,24,22,18,20,17,11,12,6,7,11,7,11,6,5,4,6,2,1,3,,,,,,,,,,,,,,772,
3102,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,2,,,,,,1,,,1,,1,1,,2,,1,,,4,,1,1,1,1,1,1,4,,1,2,1,3,2,1,3,1,1,2,,2,4,4,3,1,1,,,,2,,1,,1,,,,1,1,,,,,,,,,,,,,,,68,
3103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,,1,1,,,1,3,1,,,1,2,1,,1,2,1,2,1,1,2,1,4,2,,1,1,,3,1,2,2,2,2,1,1,1,3,3,3,1,,1,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,65,
3201,4,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,1,1,,1,,1,,,,1,1,,1,1,,1,1,,1,1,,,,2,,1,,,2,3,3,,2,1,2,3,1,2,1,2,1,,6,3,3,2,3,1,3,1,2,,4,2,1,,,1,,1,,,,1,,,,,,1,,,,,,,,,,80,
3202,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,1,,,1,,,2,,2,1,1,1,,1,,,1,1,,,,3,,1,1,,3,3,3,2,1,,1,1,,1,1,2,1,,1,5,1,,2,2,,,,2,,1,,,1,,,,,,,,,,,,,57,
3301,5,,1,1,,,,,,,,,,,1,,,,,,,2,,,1,,1,1,,1,1,,,,,,2,1,2,2,3,,3,5,4,2,2,2,1,4,1,4,1,,1,3,2,2,2,4,4,4,3,6,6,6,4,4,5,5,4,9,5,9,11,5,9,10,11,8,5,11,9,11,8,8,9,5,8,7,2,2,3,4,3,3,3,1,,,,2,,,,,,,,,,,,,300,
3302,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,2,,2,1,2,1,2,1,2,,1,2,,,,,,,,1,1,1,,1,,,4,,1,,1,,1,,,,,,,,,,,,,,,,,32,
3303,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,,2,,,,,,1,,,,1,2,,1,,,,,,2,1,1,,1,2,1,1,,,1,2,,,,,,1,1,,,,,,,,,,,,,,,,,,27,
3304,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,1,1,,1,,,,,1,,,3,,2,,2,1,,2,,4,,,1,2,2,,1,2,3,3,4,1,2,3,1,,2,1,1,2,,,,,,,2,,,,1,,,,,,,,,,,,,,59,
4101,30,1,,,,,,1,,1,,,1,,,1,,1,1,2,2,2,1,4,1,1,1,2,2,2,3,3,3,2,2,,1,,4,6,2,4,4,4,3,4,7,7,5,6,5,7,8,10,11,9,8,9,10,11,21,10,15,12,17,12,14,15,18,9,17,22,27,18,18,18,24,26,27,30,35,24,31,43,28,21,29,29,23,23,16,17,25,14,8,14,12,6,3,2,1,,1,2,,,,,,1,,,,,993,
4102,27,,,,,,,,,,,2,,,,1,1,1,2,2,3,3,2,1,1,1,3,2,2,3,3,2,4,2,1,4,1,3,4,3,4,4,4,9,6,6,6,9,11,8,7,5,8,6,9,11,14,13,12,15,16,14,11,13,20,6,16,18,21,20,18,11,21,30,32,25,35,36,31,28,23,33,28,35,25,24,29,19,25,28,30,16,16,16,12,5,7,8,4,4,3,2,1,1,,,,1,,,,,,,1068,
4103,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,1,1,1,,,3,,,,,,,1,,1,1,1,,2,1,1,1,2,2,2,3,1,1,2,1,2,2,1,,2,2,1,2,5,1,3,4,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,66,
4104,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,3,1,,1,1,,,,,,2,,,1,,2,,,1,1,,,,,,,,,,,,,,,,,,20,
4105,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,1,,1,1,,,,,,,,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
4106,3,,,,,,,,,,,,,,,,,1,1,2,,2,,,1,1,,,,,,,1,,,,,,,1,1,,1,,1,,,,1,,1,,1,,2,1,3,,3,2,,2,2,3,3,2,,3,3,5,5,2,4,1,1,2,3,3,6,5,3,6,3,1,3,8,1,2,1,2,2,2,2,2,2,5,1,2,,1,,,,1,,,,,,,,,,,135,
4201,5,,,,,1,,,,,,,,,,,,,,,,1,,2,1,,,,,,1,1,1,,,,,,,1,,,2,,1,1,1,,1,1,1,,3,1,1,1,1,1,1,5,2,1,3,3,2,3,5,4,2,6,2,5,4,2,5,4,1,3,4,8,7,11,8,8,5,2,1,5,5,4,5,4,2,1,2,,2,1,1,,4,,,,,,,,,,,,,,183,
4202,1,2,,,,,,,,,,,,1,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,2,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,2,,,1,1,,1,1,,7,2,,3,2,2,1,1,,,3,3,1,1,1,1,3,2,2,,1,,,1,1,,,,,,,,,,,,,,,58,
4203,4,,,,,,,,,,,,,,,,,,,2,1,3,1,,,1,,,,1,1,2,,,,,1,,,1,,,,,1,1,,,2,2,3,1,2,2,1,,1,2,,2,1,,1,2,2,1,6,2,1,2,2,1,3,2,1,3,2,6,5,3,3,2,1,4,,3,1,,2,2,6,1,1,3,1,,,,,,,,,,,,,,,,,,,,114,
4204,4,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,1,,1,,,,1,1,,1,,1,1,1,1,,1,2,2,2,5,2,2,,,3,1,,3,4,2,2,3,2,4,2,5,4,3,5,2,6,4,6,9,2,8,2,4,4,2,2,3,6,3,2,1,2,1,3,1,1,1,,,,3,1,,,,,,,,,,,,154,
4301,15,1,,,,,,,,,,,,,,,,,1,1,2,1,2,2,1,1,3,1,1,1,4,1,2,,,6,2,,1,1,3,2,3,3,1,3,1,5,4,6,6,4,7,2,2,7,5,6,3,5,8,3,6,5,7,11,8,10,4,13,15,14,15,16,13,13,18,22,10,21,23,20,20,25,14,16,16,21,18,12,12,11,7,10,3,4,7,2,3,3,3,,,,,1,1,,,,,,,,612,
4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,,,1,,,2,,2,,,,1,,1,2,1,2,,,2,1,1,,,2,3,7,3,2,4,1,3,3,1,6,1,5,4,2,4,3,3,3,3,3,3,1,1,2,,2,2,,2,,,,,,,,,,,,,,99,
4303,2,1,,1,,,,,,,,,,,,,1,,,,,2,,,,1,,,,2,,,,1,,,,,1,,1,,,,,1,1,1,2,2,1,2,2,,,,1,1,2,,1,2,1,3,,6,2,4,1,5,3,5,3,5,4,2,4,5,6,3,6,5,5,7,6,1,4,5,4,2,1,2,5,1,2,,1,1,,,,1,,,,,,,1,,,,,,154,
4304,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,1,,1,,,,2,,,,,,,,,,,,,,,,,1,,2,,,1,1,,,,1,,,1,3,1,4,,1,1,1,1,2,,3,1,4,1,2,2,3,,5,1,2,2,4,,2,6,2,1,,1,1,,1,,,,1,1,,,,,,,,,,,75,
4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,3,,1,1,1,1,,,,1,3,1,,2,,1,1,1,2,1,,2,1,1,,1,2,,,1,,1,,,,,,,,,,,,,,,,,,35,
5101,42,4,2,1,2,1,1,,1,1,,1,3,,,1,1,3,3,2,4,2,5,2,5,2,1,3,4,4,7,1,8,7,,6,7,7,4,5,7,6,9,15,6,11,9,16,16,15,16,18,15,20,28,20,22,26,22,12,24,25,29,29,32,25,37,40,45,44,37,47,29,38,45,47,61,61,64,76,69,73,71,71,66,45,63,53,50,45,47,36,26,25,34,29,16,11,11,5,2,3,3,1,,1,,,,,,,,,2153,
5102,1,,,,,,,1,,,,,,,,2,,1,1,,,,,,1,,,,2,1,,,,,,,,1,,,1,2,,,1,,,1,3,,,,3,2,,2,1,,,,2,1,2,2,1,1,1,1,2,1,2,2,7,3,4,1,5,5,2,7,5,6,1,4,3,3,5,,2,2,2,3,4,,1,2,2,1,,1,1,1,,,,,,,,,,,,,128,
5103,3,,,,,,,,,,,,,,,1,,,1,,,,,3,1,1,1,,,1,,,1,,,,,2,,,2,1,,,,1,1,1,3,,,2,1,1,2,,3,3,3,5,,1,1,4,2,2,2,,5,1,2,2,2,5,4,4,3,4,3,6,2,6,4,3,6,3,1,7,4,11,2,1,1,1,2,1,2,1,,,1,1,1,,,,,,,,,,,,158,
5105,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,,,1,,,,,,,2,2,,1,,,3,1,,1,4,1,1,,,1,1,1,1,4,2,,,1,1,1,3,2,4,5,1,4,5,3,1,6,6,2,2,1,2,1,4,3,,2,,4,1,,1,,,,,,,,,,,,,,,,,100,
5107,2,,,,,,,,,,,,,,,,,,,1,1,3,,,,,,1,,,,1,,,1,1,1,,1,,,,1,,1,,1,,1,1,,3,,2,,,,3,1,1,,1,1,3,2,1,,5,1,2,7,1,6,1,5,4,3,2,2,5,8,4,7,11,2,4,2,4,5,4,5,1,4,3,2,1,3,2,1,,,,,,,,,,,,,,,,153,
5109,31,,2,,,,,,1,1,1,2,1,2,2,,1,,4,2,3,,2,2,5,1,1,2,3,3,4,7,3,6,2,1,4,5,3,4,6,8,2,6,9,10,5,10,9,14,18,8,9,26,25,22,13,21,23,18,16,27,16,28,30,36,37,31,39,31,33,42,49,42,43,48,50,59,54,88,74,79,67,72,75,78,66,61,60,62,50,60,27,43,29,23,28,23,9,11,4,1,5,,,,,,1,,,,,,2180,
5201,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,1,,,3,,,,,1,1,,1,,,2,,1,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,
5301,7,,1,,,,,,1,,,,,,1,,1,,2,,1,1,2,2,1,1,,,2,,1,,,,2,,1,,2,1,,1,,4,3,1,2,5,2,2,5,5,6,3,1,3,3,6,8,2,7,4,3,7,7,5,7,7,7,12,7,7,6,6,9,9,10,11,13,6,11,13,11,8,16,5,11,8,19,9,15,8,6,5,6,5,7,3,2,1,1,,1,,,,,,,,,,,,413,
5302,,,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,2,,,,2,1,1,1,1,1,,1,3,2,2,2,1,2,,4,2,1,3,4,2,3,4,1,2,1,2,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,63,
5303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,1,,,,,,1,,1,,,,,,,3,,,1,1,,1,1,1,,2,,2,,,,1,,1,1,1,3,,,4,,2,,1,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,40,
5304,3,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,,1,1,,,,,,,,,1,1,1,1,,,1,,1,1,1,,,1,1,1,,2,,1,,1,,2,3,,2,4,1,1,,3,3,1,2,1,5,3,3,1,3,3,4,2,2,,1,3,1,4,1,,4,1,2,1,,1,,,,,,,,,,,,,,,,92,
5401,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,,1,1,2,,,,,,1,,,1,2,1,,2,,1,1,,3,1,1,1,1,,1,3,,2,4,3,3,4,2,2,3,3,5,3,4,6,3,1,6,4,2,6,1,9,6,5,9,8,6,6,2,9,4,5,7,4,6,3,1,5,3,,3,,1,,,,1,,,,,,,,,,,,,199,
5402,2,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,,1,2,,,,1,,,,,1,2,1,1,1,,1,1,2,1,2,3,4,5,3,2,4,2,2,4,1,4,2,6,4,5,5,5,3,3,5,7,2,1,3,2,2,1,5,,1,6,2,,3,2,1,,,,,,,,,,,,,,,,,134,
5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,1,,1,,1,,1,1,1,,,,2,1,1,,,1,,1,1,,,2,1,,,,,2,,,,,,,,,,,,,,,,,,,23,
5404,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,2,,1,,,,,,1,2,2,1,1,,,,1,,1,1,,,,3,1,,,1,,1,2,1,,1,1,1,1,2,3,2,4,3,1,2,2,1,1,5,,1,1,1,,,1,,1,1,,,1,,,,,,,,,,,,,,,62,
5405,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,1,,,,1,1,,1,2,,,,1,2,,2,,,1,,2,1,1,,2,,2,1,2,,1,2,1,1,,,1,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,37,
5501,8,4,,,,,,,,,,,,,,1,,1,1,,1,1,3,,2,2,1,3,2,2,1,3,2,,2,2,,,2,3,2,,1,1,6,2,3,6,2,4,2,6,1,5,5,3,1,10,3,6,7,5,7,9,5,10,7,8,12,11,19,10,14,11,7,7,11,14,20,22,23,21,22,16,19,13,13,16,25,17,16,11,11,5,5,10,4,2,2,2,3,2,3,1,,,,,,,,,,,594,
5502,3,,,,,,,,,,,,,,3,,,1,,2,,1,,3,2,,1,2,,,3,,,1,1,,1,,,3,2,,1,3,,2,1,1,1,8,5,3,2,3,2,1,4,5,2,,3,4,7,6,8,7,4,10,9,4,9,3,10,10,6,8,4,8,12,9,10,7,11,10,7,11,10,15,8,6,10,5,6,3,9,3,2,2,,,,,,,,,,,,,,,,,349,
5503,1,1,,,,,,,,,,,,,,,,1,,,,1,,1,,2,,,,,2,,,,,,,,,,,1,,,1,1,,1,,,1,1,2,,2,,,2,1,1,1,,,,2,1,1,3,,,,,1,1,,5,3,1,1,2,1,5,4,2,4,4,3,,2,5,,,1,1,,,,,,1,,,1,,,,,,,,,,,,79,
5504,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,2,,,,,,,1,,,,1,,1,1,1,,,,,1,,2,1,,,2,,2,,1,2,2,1,,5,1,2,2,1,3,3,3,1,1,2,1,2,5,5,1,2,3,1,,,2,,,,1,1,,,,,,,,,,,,,,76,
5506,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,1,1,2,1,,,,,,2,,2,4,,3,2,2,1,1,,3,4,2,1,3,1,1,3,3,1,,2,5,3,5,2,3,3,5,10,2,4,2,1,3,5,4,5,3,2,1,1,1,1,,,,,,,,,,,,,,,,,,,123,
5601,12,1,,1,2,1,,,1,,,1,,,,1,1,,,2,4,1,1,4,2,,,,2,2,,,,2,,3,2,4,,5,3,,2,4,2,3,4,6,4,5,7,5,7,8,9,8,5,3,4,9,8,7,15,6,5,14,6,9,10,21,10,9,13,15,11,9,18,16,10,11,15,21,18,18,18,7,11,14,11,12,13,9,8,4,5,5,1,4,1,,1,1,2,1,,,1,,,,,,,,577,
5602,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,1,,,,1,2,,2,,1,1,,,2,2,,3,1,2,2,2,,5,2,3,3,5,1,2,1,,2,,1,,2,,5,,,1,2,2,1,1,,1,,1,,,,,,,,,,,,,,,68,
5603,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,2,1,,,1,,,,1,,,1,,2,2,,3,,,1,2,2,1,2,,2,1,4,3,1,2,,2,5,2,4,1,4,3,5,3,8,5,7,4,4,7,5,2,1,,1,,2,1,,1,,1,,,,,,,,,,,,,,,,117,
5604,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,2,1,,,1,,,,,1,1,1,3,,1,2,2,,1,,,4,3,2,3,4,1,1,,2,1,2,3,1,,4,1,2,3,1,3,2,2,1,1,,1,1,,1,,,,1,,,,,,,,,,,,,,71,
